52 material,,
µi,Br,Hc
250,2900,0.6
Frequency(Hz),µ',µ''
1.00E+04,272.64,1.43
7.50E+04,267.78,3.32
1.00E+05,268.08,3.14
3.00E+05,266.51,2.74
5.00E+05,265.73,2.74
6.66E+05,265.54,2.83
8.00E+05,265.36,2.87
9.60E+05,265.25,3.01
3.00E+06,268.44,5.62
5.00E+06,293.51,18.88
5.29E+06,290.76,24.42
5.74E+06,295.23,33.27
6.19E+06,298.26,43.80
6.64E+06,299.66,55.65
7.16E+06,298.92,70.27
7.77E+06,295.43,87.04
8.38E+06,288.51,103.16
8.99E+06,278.83,117.07
9.69E+06,265.16,129.99
1.05E+07,249.12,139.81
1.13E+07,233.44,145.57
1.22E+07,217.14,148.73
1.32E+07,200.97,149.32
1.42E+07,186.96,148.17
1.53E+07,174.90,145.94
1.65E+07,162.89,142.49
1.79E+07,151.28,137.95
1.93E+07,141.63,133.21
2.07E+07,133.64,128.53
2.23E+07,126.05,123.35
2.41E+07,119.14,118.07
2.59E+07,113.54,113.46
2.80E+07,108.44,108.87
3.04E+07,103.41,104.39
3.27E+07,99.30,100.66
3.51E+07,95.63,97.55
3.79E+07,91.73,94.55
4.11E+07,87.85,91.53
4.43E+07,84.32,89.01
4.75E+07,81.03,86.86
5.13E+07,77.51,84.65
5.55E+07,73.90,82.51
5.96E+07,70.58,80.63
6.43E+07,67.17,78.73
6.98E+07,63.53,76.75
7.53E+07,60.20,75.03
8.07E+07,57.14,73.49
8.71E+07,53.85,71.85
9.45E+07,50.29,70.17
1.02E+08,47.02,68.63
1.09E+08,43.88,67.13
1.18E+08,40.44,65.52
1.28E+08,36.90,63.64
1.37E+08,33.72,61.79
1.48E+08,30.57,59.64
1.61E+08,27.43,57.43
1.73E+08,24.65,55.34
1.86E+08,22.18,53.41
2.00E+08,19.62,51.33
2.17E+08,16.99,49.10
2.34E+08,14.69,47.04
2.51E+08,12.60,45.07
2.71E+08,10.48,42.97
2.93E+08,8.42,40.71
3.15E+08,6.63,38.63
3.40E+08,4.90,36.47
3.69E+08,3.27,34.07
3.98E+08,1.87,31.87
4.27E+08,0.81,29.84
4.61E+08,-0.15,27.75
5.00E+08,-0.94,25.57
5.39E+08,-1.50,23.73
5.78E+08,-1.92,22.14
6.24E+08,-2.25,20.61
6.75E+08,-2.58,19.22
7.26E+08,-2.88,18.03
7.83E+08,-3.17,16.99
8.49E+08,-3.55,15.96
9.16E+08,-3.87,15.08
9.82E+08,-4.20,14.37
1.06E+09,-4.61,13.67
1.15E+09,-5.12,13.02
1.24E+09,-5.69,12.44
1.33E+09,-6.37,11.94
1.43E+09,-7.18,11.39
1.56E+09,-8.22,10.86
1.68E+09,-9.41,10.41
