61 material,,
µi,Br,Hc
125,1000,1.2
Frequency(Hz),µ',µ''
1.00E+04,118.03,0.45
5.00E+04,117.55,0.45
1.00E+05,117.59,0.45
3.00E+05,117.89,0.46
5.00E+05,117.95,0.48
7.00E+05,117.85,0.58
1.00E+06,118.57,0.62
1.08E+06,118.50,0.62
1.16E+06,118.51,0.62
1.24E+06,118.53,0.63
1.32E+06,118.52,0.65
1.42E+06,118.49,0.66
1.53E+06,118.47,0.70
1.64E+06,118.50,0.72
1.75E+06,118.53,0.75
1.87E+06,118.53,0.75
2.02E+06,118.54,0.76
2.16E+06,118.54,0.76
2.31E+06,118.59,0.74
2.48E+06,118.58,0.77
2.67E+06,118.65,0.76
2.86E+06,118.71,0.77
3.05E+06,118.76,0.78
3.27E+06,118.84,0.78
3.53E+06,118.94,0.80
3.78E+06,119.04,0.81
4.04E+06,119.15,0.84
4.33E+06,119.29,0.86
4.66E+06,119.47,0.87
5.00E+06,119.69,0.93
5.34E+06,119.92,0.95
5.72E+06,120.19,0.98
6.17E+06,120.57,1.07
6.61E+06,120.98,1.11
7.05E+06,121.42,1.17
7.56E+06,121.97,1.31
8.17E+06,122.72,1.42
8.78E+06,123.54,1.56
9.39E+06,124.47,1.78
1.00E+07,125.48,2.02
1.07E+07,126.84,2.35
1.16E+07,128.58,2.88
1.24E+07,130.59,3.54
1.32E+07,132.86,4.43
1.42E+07,135.72,5.91
1.53E+07,139.39,8.31
1.64E+07,143.28,11.73
1.75E+07,147.07,16.41
1.87E+07,150.66,23.49
2.02E+07,152.75,33.55
2.16E+07,151.80,44.49
2.31E+07,147.86,54.68
2.48E+07,140.88,64.11
2.67E+07,131.60,71.61
2.86E+07,122.17,76.41
3.05E+07,113.86,78.94
3.27E+07,105.12,80.56
3.53E+07,96.33,80.98
3.78E+07,88.56,80.56
4.04E+07,82.07,79.37
4.33E+07,75.64,77.69
4.66E+07,69.45,75.44
5.00E+07,64.33,73.15
5.34E+07,60.03,70.95
5.72E+07,55.88,68.50
6.17E+07,51.86,65.97
6.61E+07,48.40,63.62
7.05E+07,45.50,61.47
7.56E+07,42.60,59.30
8.17E+07,39.66,56.95
8.78E+07,37.13,54.88
9.39E+07,34.87,53.08
1.00E+08,32.90,51.43
1.07E+08,30.80,49.72
1.16E+08,28.60,47.92
1.24E+08,26.66,46.32
1.32E+08,24.92,44.89
1.42E+08,23.03,43.33
1.53E+08,21.20,41.76
1.64E+08,19.46,40.30
1.75E+08,17.90,38.91
1.87E+08,16.32,37.48
2.02E+08,14.68,35.95
2.16E+08,13.23,34.55
2.31E+08,11.97,33.22
2.48E+08,10.62,31.81
2.67E+08,9.32,30.30
2.86E+08,8.16,28.89
3.05E+08,7.20,27.62
3.27E+08,6.24,26.28
3.53E+08,5.30,24.89
3.78E+08,4.54,23.63
4.04E+08,3.87,22.49
4.33E+08,3.21,21.36
4.66E+08,2.57,20.25
5.00E+08,2.05,19.17
5.34E+08,1.63,18.27
5.72E+08,1.15,17.33
6.17E+08,0.74,16.40
6.61E+08,0.37,15.59
7.05E+08,0.05,14.87
7.56E+08,-0.22,14.13
8.17E+08,-0.49,13.41
8.78E+08,-0.69,12.79
9.39E+08,-0.87,12.30
1.00E+09,-1.05,11.90
